Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4694	73.1297	0.8180	0.4617	0.8486	1.5967	2.4837	5.8545	1691.0000	10479.0000
chr1	0.4177	68.4046	0.7988	0.4034	0.8197	2.4691	2.4691	2.4691	162.0000	1057.0000
chr10	0.5151	70.0524	0.7883	0.4496	0.8075	3.2967	3.2967	12.0879	91.0000	537.0000
chr11	0.5402	69.6667	0.7617	0.4101	0.7953	5.9524	5.9524	7.1429	84.0000	525.0000
chr12	0.4695	78.0709	0.8626	0.5265	0.8941	7.7922	7.7922	7.7922	77.0000	528.0000
chr13	0.4135	74.3972	0.8454	0.4846	0.8823	5.5556	5.5556	5.5556	36.0000	235.0000
chr14	0.4456	76.4884	0.8680	0.5950	0.9117	1.8182	1.8182	23.6364	55.0000	306.0000
chr15	0.4501	80.4545	0.8613	0.5067	0.8603	7.2727	7.2727	7.2727	55.0000	330.0000
chr16	0.5255	74.6993	0.8376	0.5713	0.8375	5.8824	5.8824	9.4118	85.0000	356.0000
chr17	0.5450	68.9863	0.7731	0.4428	0.7968	2.2727	2.2727	2.2727	88.0000	452.0000
chr18	0.4473	77.7606	0.8565	0.3754	0.8498	0.0000	0.0000	0.0000	30.0000	227.0000
chr19	0.6536	68.4189	0.7690	0.5424	0.7656	11.3636	11.3636	12.5000	88.0000	326.0000
chr2	0.4665	72.4605	0.8068	0.3889	0.8299	2.6786	2.6786	2.6786	112.0000	854.0000
chr20	0.4937	68.4498	0.7976	0.4435	0.8596	4.0000	4.0000	4.0000	50.0000	329.0000
chr21	0.5617	67.7155	0.7296	0.3572	0.7378	0.0000	0.0000	0.0000	23.0000	114.0000
chr22	0.5979	72.2927	0.7661	0.5164	0.6950	9.6154	9.6154	11.5385	52.0000	179.0000
chr3	0.4508	75.4881	0.8322	0.4822	0.8601	2.5862	2.5862	2.5862	116.0000	695.0000
chr4	0.4100	71.5871	0.8301	0.4097	0.8413	2.9851	2.9851	2.9851	67.0000	478.0000
chr5	0.4454	69.1793	0.8150	0.4073	0.8427	2.5000	2.5000	2.5000	80.0000	559.0000
chr6	0.3980	71.9948	0.8238	0.3490	0.8874	4.6154	4.6154	4.6154	65.0000	762.0000
chr7	0.4502	77.2654	0.8461	0.5101	0.8849	2.2989	2.2989	2.2989	87.0000	550.0000
chr8	0.4543	76.6862	0.8316	0.5121	0.8888	5.9701	5.9701	22.3881	67.0000	420.0000
chr9	0.4520	76.8856	0.8482	0.5374	0.8904	6.9444	6.9444	6.9444	72.0000	439.0000
chrX	0.4241	73.5622	0.8476	0.5654	0.8512	6.1224	6.1224	8.1633	49.0000	220.0000
