Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4766	73.0123	0.8161	0.4583	0.8470	1.3601	3.0160	5.3223	1691.0000	10479.0000
chr1	0.4791	69.5066	0.7956	0.4013	0.8178	2.4691	2.4691	3.7037	162.0000	1057.0000
chr10	0.5078	70.0616	0.7872	0.4483	0.8088	3.2967	3.2967	12.0879	91.0000	537.0000
chr11	0.5422	69.2619	0.7589	0.4079	0.7936	5.9524	5.9524	10.7143	84.0000	525.0000
chr12	0.4253	79.5996	0.8577	0.5157	0.8872	6.4935	6.4935	6.4935	77.0000	528.0000
chr13	0.4124	74.3972	0.8439	0.4778	0.8769	5.5556	5.5556	5.5556	36.0000	235.0000
chr14	0.4564	76.4884	0.8643	0.5784	0.9048	1.8182	1.8182	21.8182	55.0000	306.0000
chr15	0.4629	78.9394	0.8601	0.5074	0.8638	7.2727	7.2727	7.2727	55.0000	330.0000
chr16	0.5240	74.1110	0.8379	0.5716	0.8420	4.7059	4.7059	9.4118	85.0000	356.0000
chr17	0.5486	69.0969	0.7695	0.4412	0.7960	2.2727	2.2727	2.2727	88.0000	452.0000
chr18	0.4489	74.4273	0.8523	0.3750	0.8495	0.0000	0.0000	0.0000	30.0000	227.0000
chr19	0.6562	68.1574	0.7684	0.5447	0.7673	11.3636	11.3636	12.5000	88.0000	326.0000
chr2	0.4665	71.9555	0.8042	0.3854	0.8297	2.6786	2.6786	2.6786	112.0000	854.0000
chr20	0.5125	68.5380	0.7967	0.4466	0.8589	6.0000	6.0000	6.0000	50.0000	329.0000
chr21	0.5705	68.5927	0.7216	0.3462	0.7279	0.0000	0.0000	0.0000	23.0000	114.0000
chr22	0.6014	72.0133	0.7629	0.5139	0.6799	9.6154	9.6154	13.4615	52.0000	179.0000
chr3	0.4502	74.8419	0.8306	0.4759	0.8547	2.5862	2.5862	2.5862	116.0000	695.0000
chr4	0.4085	72.3334	0.8266	0.4053	0.8381	2.9851	2.9851	2.9851	67.0000	478.0000
chr5	0.4467	69.8938	0.8122	0.3998	0.8399	1.2500	1.2500	1.2500	80.0000	559.0000
chr6	0.3973	72.6327	0.8195	0.3423	0.8828	4.6154	4.6154	4.6154	65.0000	762.0000
chr7	0.4907	76.4472	0.8416	0.5036	0.8829	2.2989	2.2989	2.2989	87.0000	550.0000
chr8	0.4573	75.9399	0.8296	0.5056	0.8836	5.9701	5.9701	20.8955	67.0000	420.0000
chr9	0.4459	75.4967	0.8464	0.5326	0.8868	6.9444	6.9444	6.9444	72.0000	439.0000
chrX	0.4248	73.7894	0.8444	0.5594	0.8466	6.1224	6.1224	8.1633	49.0000	220.0000
