Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4748	72.9532	0.8154	0.4563	0.8456	1.6558	2.4837	5.0857	1691.0000	10479.0000
chr1	0.4811	69.3647	0.7944	0.3989	0.8169	1.8519	1.8519	3.7037	162.0000	1057.0000
chr10	0.5097	70.1547	0.7873	0.4492	0.8088	3.2967	3.2967	12.0879	91.0000	537.0000
chr11	0.5449	69.2619	0.7581	0.4064	0.7923	5.9524	5.9524	10.7143	84.0000	525.0000
chr12	0.3853	78.8961	0.8563	0.5146	0.8868	6.4935	6.4935	6.4935	77.0000	528.0000
chr13	0.4121	74.6099	0.8456	0.4771	0.8748	5.5556	5.5556	5.5556	36.0000	235.0000
chr14	0.4475	76.9786	0.8651	0.5815	0.9069	1.8182	1.8182	23.6364	55.0000	306.0000
chr15	0.4621	78.9394	0.8592	0.5056	0.8610	7.2727	7.2727	7.2727	55.0000	330.0000
chr16	0.5242	74.2515	0.8371	0.5672	0.8405	3.5294	3.5294	9.4118	85.0000	356.0000
chr17	0.5492	68.9712	0.7694	0.4413	0.7968	2.2727	2.2727	2.2727	88.0000	452.0000
chr18	0.4293	71.9750	0.8502	0.3690	0.8519	0.0000	0.0000	0.0000	30.0000	227.0000
chr19	0.6509	68.1574	0.7683	0.5455	0.7678	11.3636	11.3636	11.3636	88.0000	326.0000
chr2	0.4698	72.0141	0.8039	0.3842	0.8279	2.6786	2.6786	2.6786	112.0000	854.0000
chr20	0.5157	68.5380	0.7970	0.4512	0.8605	6.0000	6.0000	8.0000	50.0000	329.0000
chr21	0.5710	68.5927	0.7193	0.3454	0.7269	0.0000	0.0000	0.0000	23.0000	114.0000
chr22	0.6039	72.0133	0.7624	0.5120	0.6783	9.6154	9.6154	11.5385	52.0000	179.0000
chr3	0.4541	75.2009	0.8299	0.4738	0.8525	2.5862	2.5862	2.5862	116.0000	695.0000
chr4	0.4079	71.6918	0.8243	0.4027	0.8341	2.9851	2.9851	2.9851	67.0000	478.0000
chr5	0.4494	70.2504	0.8112	0.3997	0.8410	1.2500	1.2500	1.2500	80.0000	559.0000
chr6	0.4005	72.6984	0.8191	0.3420	0.8835	4.6154	4.6154	4.6154	65.0000	762.0000
chr7	0.4798	76.7200	0.8410	0.4966	0.8775	2.2989	2.2989	2.2989	87.0000	550.0000
chr8	0.4511	75.9399	0.8292	0.5045	0.8820	5.9701	5.9701	7.4627	67.0000	420.0000
chr9	0.4544	75.9634	0.8458	0.5266	0.8841	5.5556	5.5556	6.9444	72.0000	439.0000
chrX	0.4248	71.7486	0.8439	0.5597	0.8460	6.1224	6.1224	8.1633	49.0000	220.0000
