Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4918	74.3491	0.8248	0.4645	0.8491	1.6558	2.8386	4.5535	1691.0000	10479.0000
chr1	0.4944	72.7396	0.8101	0.4097	0.8188	1.8519	1.8519	4.3210	162.0000	1057.0000
chr10	0.5256	71.8685	0.7915	0.4432	0.7950	2.1978	2.1978	12.0879	91.0000	537.0000
chr11	0.5520	71.9048	0.7698	0.4089	0.7884	7.1429	7.1429	8.3333	84.0000	525.0000
chr12	0.4540	78.8420	0.8721	0.5441	0.9038	7.7922	7.7922	15.5844	77.0000	528.0000
chr13	0.4376	75.3605	0.8417	0.5162	0.8997	5.5556	5.5556	16.6667	36.0000	235.0000
chr14	0.4478	77.9590	0.8666	0.5961	0.9207	1.8182	21.8182	23.6364	55.0000	306.0000
chr15	0.4788	81.3636	0.8598	0.5045	0.8394	5.4545	5.4545	5.4545	55.0000	330.0000
chr16	0.5535	73.9359	0.8297	0.5462	0.8137	2.3529	2.3529	15.2941	85.0000	356.0000
chr17	0.5437	71.1484	0.7848	0.4535	0.8091	2.2727	2.2727	2.2727	88.0000	452.0000
chr18	0.4634	83.2012	0.8675	0.3431	0.7873	0.0000	0.0000	0.0000	30.0000	227.0000
chr19	0.6667	65.8742	0.7617	0.5075	0.7294	5.6818	5.6818	12.5000	88.0000	326.0000
chr2	0.4871	72.4898	0.8065	0.3884	0.8448	2.6786	2.6786	2.6786	112.0000	854.0000
chr20	0.5540	70.7143	0.8083	0.4412	0.8476	2.0000	2.0000	2.0000	50.0000	329.0000
chr21	0.5479	70.3280	0.7559	0.3959	0.7643	0.0000	0.0000	0.0000	23.0000	114.0000
chr22	0.6129	70.3373	0.7781	0.4980	0.7109	3.8462	3.8462	3.8462	52.0000	179.0000
chr3	0.4658	74.4803	0.8354	0.5135	0.8836	3.4483	3.4483	15.5172	116.0000	695.0000
chr4	0.4175	72.5426	0.8439	0.4344	0.8522	2.9851	2.9851	2.9851	67.0000	478.0000
chr5	0.4616	73.6427	0.8216	0.4152	0.8398	2.5000	2.5000	2.5000	80.0000	559.0000
chr6	0.4249	75.7753	0.8366	0.3553	0.8945	3.0769	3.0769	3.0769	65.0000	762.0000
chr7	0.4711	76.1745	0.8583	0.5435	0.8972	6.8966	6.8966	10.3448	87.0000	550.0000
chr8	0.4787	73.1059	0.8323	0.5039	0.8809	7.4627	7.4627	16.4179	67.0000	420.0000
chr9	0.4734	78.6383	0.8510	0.5710	0.9094	5.5556	5.5556	16.6667	72.0000	439.0000
chrX	0.4482	76.1688	0.8543	0.5537	0.8511	2.0408	2.0408	2.0408	49.0000	220.0000
