Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4074	76.3913	0.8579	0.5087	0.9065	1.9436	3.5737	7.3981	1595.0000	11399.0000
chr1	0.4040	77.0665	0.8687	0.4743	0.9039	2.0979	2.0979	2.7972	143.0000	1134.0000
chr10	0.4293	76.8606	0.8499	0.5163	0.9042	1.2195	1.2195	15.8537	82.0000	565.0000
chr11	0.4379	74.0874	0.8386	0.5071	0.8931	7.1429	7.1429	21.4286	84.0000	557.0000
chr12	0.3363	79.5278	0.8914	0.5614	0.9396	15.5844	15.5844	22.0779	77.0000	590.0000
chr13	0.5355	79.9009	0.8992	0.4895	0.9130	7.1429	7.1429	7.1429	28.0000	274.0000
chr14	0.4140	74.2530	0.8550	0.4921	0.9064	6.3830	6.3830	6.3830	47.0000	361.0000
chr15	0.4995	73.3772	0.8254	0.4516	0.8725	0.0000	0.0000	0.0000	57.0000	360.0000
chr16	0.4641	78.6286	0.8744	0.6821	0.8958	4.2105	23.1579	32.6316	95.0000	355.0000
chr17	0.4653	72.7790	0.8294	0.5074	0.8492	11.9048	11.9048	11.9048	84.0000	469.0000
chr18	0.4077	72.7311	0.8469	0.3698	0.8923	0.0000	0.0000	0.0000	28.0000	255.0000
chr19	0.6343	75.6494	0.8199	0.5321	0.7027	4.0404	4.0404	4.0404	99.0000	308.0000
chr2	0.3678	79.7875	0.8963	0.5947	0.9556	5.1724	20.6897	25.0000	116.0000	953.0000
chr20	0.4453	78.3284	0.8515	0.4757	0.9201	5.0000	5.0000	22.5000	40.0000	338.0000
chr21	0.4007	74.1422	0.8799	0.3926	0.8807	0.0000	0.0000	0.0000	15.0000	136.0000
chr22	0.5022	76.0542	0.8416	0.6381	0.8290	16.6667	16.6667	20.8333	48.0000	166.0000
chr3	0.3874	75.6472	0.8718	0.5127	0.9128	9.1837	10.2041	10.2041	98.0000	760.0000
chr4	0.3437	74.5287	0.8608	0.3273	0.8784	0.0000	0.0000	0.0000	46.0000	572.0000
chr5	0.3837	76.1433	0.8490	0.4547	0.9320	4.6875	4.6875	4.6875	64.0000	656.0000
chr6	0.3385	77.2978	0.8654	0.5144	0.9376	7.1429	7.1429	11.9048	84.0000	787.0000
chr7	0.2939	63.8554	0.8700	0.4828	0.8774	7.1429	7.1429	7.1429	84.0000	617.0000
chr8	0.4170	75.2570	0.8615	0.5182	0.9261	3.3333	3.3333	21.6667	60.0000	467.0000
chr9	0.4409	78.0822	0.8605	0.5684	0.9196	9.7222	9.7222	25.0000	72.0000	470.0000
chrX	0.3619	81.5799	0.8970	0.6293	0.9250	4.5455	4.5455	4.5455	44.0000	248.0000
