Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4042	77.3407	0.8688	0.5191	0.9101	2.1944	3.0094	6.6458	1595.0000	11399.0000
chr1	0.4016	77.1105	0.8715	0.4810	0.9070	2.0979	2.0979	3.4965	143.0000	1134.0000
chr10	0.3946	76.8800	0.8510	0.5190	0.9074	1.2195	1.2195	15.8537	82.0000	565.0000
chr11	0.4745	74.8525	0.8391	0.5097	0.8958	5.9524	5.9524	21.4286	84.0000	557.0000
chr12	0.3623	79.3297	0.8970	0.5706	0.9427	14.2857	18.1818	23.3766	77.0000	590.0000
chr13	0.2974	79.0016	0.9075	0.5034	0.9114	7.1429	7.1429	7.1429	28.0000	274.0000
chr14	0.3425	73.9701	0.8570	0.4704	0.9002	2.1277	2.1277	2.1277	47.0000	361.0000
chr15	0.5045	73.9766	0.8301	0.4579	0.8765	0.0000	0.0000	0.0000	57.0000	360.0000
chr16	0.4669	79.0808	0.8746	0.6809	0.8930	4.2105	21.0526	33.6842	95.0000	355.0000
chr17	0.4639	73.9694	0.8330	0.5099	0.8486	11.9048	11.9048	11.9048	84.0000	469.0000
chr18	0.3951	73.5154	0.8521	0.3798	0.8971	0.0000	0.0000	0.0000	28.0000	255.0000
chr19	0.6460	74.6934	0.8197	0.5296	0.7021	4.0404	4.0404	4.0404	99.0000	308.0000
chr2	0.3586	80.1023	0.8982	0.5966	0.9553	5.1724	19.8276	23.2759	116.0000	953.0000
chr20	0.4457	80.5325	0.8564	0.4815	0.9215	5.0000	5.0000	22.5000	40.0000	338.0000
chr21	0.3902	74.1422	0.8863	0.4117	0.8840	0.0000	0.0000	0.0000	15.0000	136.0000
chr22	0.5027	75.0126	0.8417	0.6521	0.8451	16.6667	16.6667	29.1667	48.0000	166.0000
chr3	0.3843	76.2889	0.8762	0.5126	0.9131	7.1429	7.1429	10.2041	98.0000	760.0000
chr4	0.3426	74.4413	0.8638	0.3317	0.8748	0.0000	0.0000	0.0000	46.0000	572.0000
chr5	0.3855	76.1433	0.8504	0.4557	0.9329	4.6875	4.6875	4.6875	64.0000	656.0000
chr6	0.3417	77.0436	0.8680	0.5158	0.9362	7.1429	7.1429	10.7143	84.0000	787.0000
chr7	0.4018	76.5291	0.8682	0.4805	0.8760	7.1429	7.1429	8.3333	84.0000	617.0000
chr8	0.4145	76.1974	0.8640	0.5257	0.9301	3.3333	3.3333	18.3333	60.0000	467.0000
chr9	0.3948	78.2949	0.8695	0.5812	0.9222	9.7222	9.7222	11.1111	72.0000	470.0000
chrX	0.3678	79.8387	0.8983	0.6227	0.9240	2.2727	2.2727	2.2727	44.0000	248.0000
