Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4120	77.3132	0.8678	0.5167	0.9085	2.4451	3.1348	7.5235	1595.0000	11399.0000
chr1	0.4023	77.3720	0.8703	0.4777	0.9059	2.0979	2.0979	2.7972	143.0000	1134.0000
chr10	0.4744	76.3199	0.8502	0.5302	0.9120	2.4390	2.4390	15.8537	82.0000	565.0000
chr11	0.4722	75.3014	0.8392	0.5086	0.8941	7.1429	7.1429	21.4286	84.0000	557.0000
chr12	0.3789	79.5554	0.8944	0.5652	0.9408	14.2857	19.4805	23.3766	77.0000	590.0000
chr13	0.2968	76.8509	0.9043	0.4956	0.9097	7.1429	7.1429	7.1429	28.0000	274.0000
chr14	0.4089	75.7323	0.8577	0.5007	0.9113	6.3830	6.3830	8.5106	47.0000	361.0000
chr15	0.4970	74.2544	0.8278	0.4535	0.8735	0.0000	0.0000	0.0000	57.0000	360.0000
chr16	0.4437	79.8592	0.8748	0.6803	0.8923	4.2105	21.0526	35.7895	95.0000	355.0000
chr17	0.4642	72.2903	0.8312	0.5102	0.8500	11.9048	11.9048	11.9048	84.0000	469.0000
chr18	0.3991	73.1232	0.8504	0.3761	0.8955	0.0000	0.0000	0.0000	28.0000	255.0000
chr19	0.6854	75.3788	0.8181	0.5312	0.7018	4.0404	4.0404	4.0404	99.0000	308.0000
chr2	0.3578	80.0498	0.8975	0.5971	0.9559	5.1724	19.8276	25.8621	116.0000	953.0000
chr20	0.4478	78.0325	0.8546	0.4798	0.9215	5.0000	5.0000	22.5000	40.0000	338.0000
chr21	0.4036	76.7402	0.8848	0.3957	0.8818	0.0000	0.0000	0.0000	15.0000	136.0000
chr22	0.5028	74.7113	0.8424	0.6495	0.8386	16.6667	16.6667	22.9167	48.0000	166.0000
chr3	0.3841	76.3547	0.8740	0.5145	0.9139	9.1837	9.1837	10.2041	98.0000	760.0000
chr4	0.3434	74.2665	0.8614	0.3478	0.8873	2.1739	2.1739	2.1739	46.0000	572.0000
chr5	0.3789	76.3720	0.8496	0.4529	0.9320	4.6875	4.6875	4.6875	64.0000	656.0000
chr6	0.3395	77.1707	0.8668	0.5149	0.9365	7.1429	7.1429	10.7143	84.0000	787.0000
chr7	0.4069	76.4481	0.8662	0.4777	0.8732	7.1429	7.1429	8.3333	84.0000	617.0000
chr8	0.4139	75.4711	0.8636	0.5267	0.9311	3.3333	3.3333	21.6667	60.0000	467.0000
chr9	0.4130	78.4574	0.8676	0.5789	0.9216	9.7222	9.7222	9.7222	72.0000	470.0000
chrX	0.3698	80.9751	0.8977	0.6223	0.9240	2.2727	2.2727	2.2727	44.0000	248.0000
