Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4123	77.2385	0.8650	0.5119	0.9075	1.3793	2.5078	7.1473	1595.0000	11399.0000
chr1	0.4006	77.2428	0.8698	0.4756	0.9039	2.0979	2.0979	2.7972	143.0000	1134.0000
chr10	0.4283	76.9491	0.8502	0.5167	0.9046	1.2195	1.2195	15.8537	82.0000	565.0000
chr11	0.4510	74.8290	0.8396	0.5085	0.8937	7.1429	7.1429	21.4286	84.0000	557.0000
chr12	0.3718	79.6401	0.8945	0.5675	0.9419	15.5844	16.8831	24.6753	77.0000	590.0000
chr13	0.2960	77.0334	0.9034	0.4971	0.9143	7.1429	7.1429	7.1429	28.0000	274.0000
chr14	0.3646	75.0339	0.8563	0.4946	0.9094	6.3830	6.3830	6.3830	47.0000	361.0000
chr15	0.7196	74.8830	0.8163	0.4654	0.8738	0.0000	0.0000	15.7895	57.0000	360.0000
chr16	0.4670	79.5404	0.8747	0.6819	0.8948	4.2105	22.1053	32.6316	95.0000	355.0000
chr17	0.4649	72.7790	0.8305	0.5084	0.8496	11.9048	11.9048	11.9048	84.0000	469.0000
chr18	0.4198	72.7311	0.8493	0.3814	0.8997	0.0000	0.0000	0.0000	28.0000	255.0000
chr19	0.6299	75.8117	0.8201	0.5316	0.7008	4.0404	4.0404	4.0404	99.0000	308.0000
chr2	0.3642	79.8924	0.8968	0.5952	0.9555	5.1724	19.8276	25.8621	116.0000	953.0000
chr20	0.4458	78.3284	0.8521	0.4783	0.9210	5.0000	5.0000	22.5000	40.0000	338.0000
chr21	0.3930	77.4755	0.8819	0.3934	0.8810	0.0000	0.0000	0.0000	15.0000	136.0000
chr22	0.4252	74.0211	0.8419	0.6545	0.8447	18.7500	22.9167	33.3333	48.0000	166.0000
chr3	0.3875	76.1574	0.8733	0.5131	0.9132	9.1837	9.1837	10.2041	98.0000	760.0000
chr4	0.3471	75.4409	0.8613	0.3267	0.8799	0.0000	0.0000	0.0000	46.0000	572.0000
chr5	0.3608	75.7241	0.8478	0.4510	0.9347	3.1250	3.1250	3.1250	64.0000	656.0000
chr6	0.3415	77.1072	0.8659	0.5143	0.9365	7.1429	7.1429	10.7143	84.0000	787.0000
chr7	0.4137	76.3670	0.8653	0.4764	0.8719	7.1429	7.1429	8.3333	84.0000	617.0000
chr8	0.4082	74.9590	0.8615	0.5203	0.9277	3.3333	3.3333	16.6667	60.0000	467.0000
chr9	0.4181	78.4574	0.8666	0.5779	0.9219	9.7222	9.7222	9.7222	72.0000	470.0000
chrX	0.3654	81.3783	0.8973	0.6308	0.9260	4.5455	4.5455	29.5455	44.0000	248.0000
