Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.5295	71.2061	0.7879	0.4103	0.8298	0.3971	0.4332	0.6498	2770.0000	18101.0000
chr1	0.5066	73.2487	0.7953	0.4521	0.8626	1.6260	1.6260	2.4390	246.0000	1626.0000
chr10	0.4864	76.0911	0.8355	0.4150	0.9185	0.0000	0.0000	0.0000	102.0000	965.0000
chr11	0.4908	74.1482	0.8337	0.4606	0.8699	5.1948	5.1948	5.8442	154.0000	1081.0000
chr12	0.5192	72.9621	0.7934	0.4459	0.8633	3.6036	3.6036	8.1081	111.0000	784.0000
chr13	0.4756	80.7780	0.8823	0.4470	0.8969	8.6957	8.6957	8.6957	23.0000	209.0000
chr14	0.5015	73.0232	0.8065	0.4899	0.8570	2.3810	2.3810	17.8571	84.0000	486.0000
chr15	0.5322	72.1775	0.7913	0.4144	0.8489	1.0526	1.0526	1.0526	95.0000	619.0000
chr16	0.6419	65.6113	0.7346	0.3638	0.6983	1.6949	1.6949	1.6949	118.0000	636.0000
chr17	0.5643	67.7157	0.7445	0.3801	0.7732	0.6410	0.6410	0.6410	468.0000	2725.0000
chr18	0.5083	71.2482	0.8254	0.4177	0.8325	0.0000	0.0000	0.0000	37.0000	228.0000
chr19	0.5894	71.8639	0.7937	0.4819	0.7996	2.1858	2.1858	2.1858	183.0000	868.0000
chr2	0.5123	71.3681	0.7757	0.3880	0.7823	4.2735	4.2735	5.1282	117.0000	748.0000
chr20	0.5455	70.4633	0.7842	0.3655	0.8657	1.2346	1.2346	1.2346	81.0000	671.0000
chr21	0.5486	72.2120	0.7780	0.3902	0.8070	3.1250	3.1250	3.1250	32.0000	204.0000
chr22	0.5935	70.6642	0.7947	0.4221	0.7712	8.0808	8.0808	8.0808	99.0000	577.0000
chr3	0.4863	76.3401	0.8306	0.4544	0.8850	3.1250	3.1250	14.0625	128.0000	975.0000
chr4	0.4586	68.7141	0.7943	0.4039	0.8742	1.7699	1.7699	1.7699	113.0000	885.0000
chr5	0.4857	73.6787	0.8043	0.3638	0.8293	0.0000	0.0000	0.0000	90.0000	666.0000
chr6	0.5147	68.9909	0.7725	0.4027	0.8215	2.1622	2.1622	3.7838	185.0000	1220.0000
chr7	0.5677	66.6166	0.7513	0.3476	0.7107	1.9481	1.9481	1.9481	154.0000	938.0000
chr8	0.5116	72.8571	0.7985	0.4692	0.8708	6.6667	6.6667	12.0000	75.0000	525.0000
chr9	0.5604	69.4325	0.7807	0.3892	0.7882	2.6667	2.6667	2.6667	75.0000	464.0000
