Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.5206	70.8142	0.7803	0.4028	0.8241	0.3249	0.3249	1.2274	2770.0000	18101.0000
chr1	0.4910	73.6912	0.7916	0.4557	0.8684	0.8130	0.8130	2.8455	246.0000	1626.0000
chr10	0.4698	76.4020	0.8330	0.4123	0.9183	0.0000	0.0000	0.0000	102.0000	965.0000
chr11	0.4800	71.9689	0.8172	0.4447	0.8609	4.5455	6.4935	8.4416	154.0000	1081.0000
chr12	0.5128	72.0571	0.7794	0.4013	0.8474	0.9009	0.9009	3.6036	111.0000	784.0000
chr13	0.4711	78.1257	0.8771	0.4318	0.8848	8.6957	8.6957	8.6957	23.0000	209.0000
chr14	0.4951	71.1346	0.7853	0.4797	0.8597	3.5714	3.5714	3.5714	84.0000	486.0000
chr15	0.5153	72.9045	0.7988	0.4263	0.8544	1.0526	1.0526	1.0526	95.0000	619.0000
chr16	0.6278	67.4981	0.7505	0.3818	0.7297	2.5424	2.5424	2.5424	118.0000	636.0000
chr17	0.5572	66.5848	0.7310	0.3616	0.7463	0.6410	0.6410	0.6410	468.0000	2725.0000
chr18	0.5106	71.2482	0.8154	0.4440	0.8410	5.4054	5.4054	5.4054	37.0000	228.0000
chr19	0.5863	71.5775	0.7845	0.4715	0.7935	1.6393	1.6393	4.9180	183.0000	868.0000
chr2	0.4993	71.1818	0.7695	0.4065	0.7967	5.9829	5.9829	8.5470	117.0000	748.0000
chr20	0.5323	70.5700	0.7758	0.3439	0.8339	1.2346	1.2346	1.2346	81.0000	671.0000
chr21	0.5230	65.6250	0.7655	0.3908	0.7608	9.3750	9.3750	12.5000	32.0000	204.0000
chr22	0.5851	70.5504	0.7817	0.4195	0.7741	6.0606	6.0606	10.1010	99.0000	577.0000
chr3	0.4699	75.4956	0.8211	0.4496	0.8916	1.5625	1.5625	10.9375	128.0000	975.0000
chr4	0.4706	69.3540	0.7888	0.3799	0.8450	0.0000	0.0000	11.5044	113.0000	885.0000
chr5	0.4730	72.5676	0.8076	0.3821	0.8271	1.1111	1.1111	1.1111	90.0000	666.0000
chr6	0.5101	70.3511	0.7707	0.3956	0.8172	1.0811	1.0811	1.0811	185.0000	1220.0000
chr7	0.5635	66.3888	0.7478	0.3403	0.7057	0.6494	0.6494	0.6494	154.0000	938.0000
chr8	0.5121	73.2381	0.7868	0.4397	0.8515	8.0000	8.0000	8.0000	75.0000	525.0000
chr9	0.5438	69.0690	0.7778	0.3750	0.8052	0.0000	0.0000	0.0000	75.0000	464.0000
