Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.5179	70.4323	0.7768	0.3988	0.8213	0.2888	0.2888	0.6498	2770.0000	18101.0000
chr1	0.4918	73.0200	0.7899	0.4528	0.8672	0.8130	0.8130	2.8455	246.0000	1626.0000
chr10	0.4680	76.2466	0.8306	0.4083	0.9143	0.0000	0.0000	0.0000	102.0000	965.0000
chr11	0.4861	72.3398	0.8117	0.4380	0.8566	4.5455	4.5455	6.4935	154.0000	1081.0000
chr12	0.5090	70.7696	0.7753	0.3895	0.8405	0.9009	0.9009	0.9009	111.0000	784.0000
chr13	0.4679	78.3649	0.8741	0.4238	0.8792	8.6957	8.6957	8.6957	23.0000	209.0000
chr14	0.5014	71.1346	0.7819	0.4759	0.8578	3.5714	3.5714	3.5714	84.0000	486.0000
chr15	0.5168	73.2276	0.7983	0.4233	0.8486	1.0526	1.0526	1.0526	95.0000	619.0000
chr16	0.6302	68.1577	0.7517	0.3824	0.7370	1.6949	1.6949	1.6949	118.0000	636.0000
chr17	0.5593	66.3043	0.7271	0.3558	0.7379	0.4274	0.4274	0.4274	468.0000	2725.0000
chr18	0.5064	71.4675	0.8119	0.4508	0.8357	8.1081	8.1081	8.1081	37.0000	228.0000
chr19	0.5860	71.1182	0.7812	0.4671	0.7885	1.6393	1.6393	4.9180	183.0000	868.0000
chr2	0.4844	68.8994	0.7626	0.3970	0.7872	6.8376	6.8376	6.8376	117.0000	748.0000
chr20	0.5379	70.6445	0.7728	0.3350	0.8234	1.2346	1.2346	1.2346	81.0000	671.0000
chr21	0.5223	65.8701	0.7610	0.3910	0.7501	12.5000	12.5000	12.5000	32.0000	204.0000
chr22	0.4945	69.0527	0.7801	0.4213	0.7732	7.0707	7.0707	10.1010	99.0000	577.0000
chr3	0.4717	74.7656	0.8177	0.4487	0.8914	1.5625	1.5625	10.1562	128.0000	975.0000
chr4	0.4528	70.2580	0.7892	0.3834	0.8497	0.0000	11.5044	11.5044	113.0000	885.0000
chr5	0.4744	72.4174	0.8063	0.3864	0.8204	1.1111	1.1111	1.1111	90.0000	666.0000
chr6	0.5128	69.7696	0.7684	0.3918	0.8142	1.0811	1.0811	1.0811	185.0000	1220.0000
chr7	0.5684	66.3888	0.7452	0.3327	0.7068	0.6494	0.6494	0.6494	154.0000	938.0000
chr8	0.5227	72.3810	0.7828	0.4276	0.8471	5.3333	5.3333	8.0000	75.0000	525.0000
chr9	0.5415	68.4023	0.7761	0.3732	0.8080	0.0000	0.0000	0.0000	75.0000	464.0000
