Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.5187	70.6841	0.7787	0.4007	0.8226	0.2888	0.2888	0.6137	2770.0000	18101.0000
chr1	0.4845	73.2967	0.7908	0.4544	0.8677	0.8130	0.8130	2.8455	246.0000	1626.0000
chr10	0.4718	76.1429	0.8317	0.4109	0.9171	0.0000	0.0000	0.0000	102.0000	965.0000
chr11	0.4809	72.1539	0.8142	0.4406	0.8587	4.5455	4.5455	8.4416	154.0000	1081.0000
chr12	0.5109	70.5782	0.7769	0.3945	0.8439	0.9009	0.9009	0.9009	111.0000	784.0000
chr13	0.4700	78.1257	0.8758	0.4307	0.8860	8.6957	8.6957	8.6957	23.0000	209.0000
chr14	0.4830	71.8548	0.7853	0.4833	0.8614	3.5714	3.5714	3.5714	84.0000	486.0000
chr15	0.5176	73.0661	0.7989	0.4256	0.8524	1.0526	1.0526	1.0526	95.0000	619.0000
chr16	0.6308	68.0791	0.7512	0.3833	0.7337	2.5424	2.5424	2.5424	118.0000	636.0000
chr17	0.5558	66.4478	0.7291	0.3587	0.7417	0.4274	0.4274	0.4274	468.0000	2725.0000
chr18	0.5134	72.3803	0.8145	0.4550	0.8395	8.1081	8.1081	8.1081	37.0000	228.0000
chr19	0.5831	71.2762	0.7825	0.4685	0.7902	1.6393	1.6393	4.9180	183.0000	868.0000
chr2	0.4986	70.9550	0.7675	0.4053	0.7965	5.9829	5.9829	7.6923	117.0000	748.0000
chr20	0.5363	69.9527	0.7743	0.3387	0.8287	1.2346	1.2346	1.2346	81.0000	671.0000
chr21	0.5207	66.1152	0.7574	0.3900	0.7478	12.5000	12.5000	12.5000	32.0000	204.0000
chr22	0.5863	70.1320	0.7792	0.4180	0.7738	6.0606	6.0606	9.0909	99.0000	577.0000
chr3	0.4697	75.3101	0.8187	0.4480	0.8913	1.5625	1.5625	10.1562	128.0000	975.0000
chr4	0.4530	70.3145	0.7904	0.3869	0.8537	0.0000	11.5044	11.5044	113.0000	885.0000
chr5	0.4744	72.4174	0.8069	0.3857	0.8223	1.1111	1.1111	1.1111	90.0000	666.0000
chr6	0.5126	69.9989	0.7697	0.3945	0.8159	1.0811	1.0811	1.0811	185.0000	1220.0000
chr7	0.5650	66.2822	0.7468	0.3388	0.7071	0.6494	0.6494	0.6494	154.0000	938.0000
chr8	0.5012	73.3333	0.7841	0.4348	0.8480	8.0000	8.0000	8.0000	75.0000	525.0000
chr9	0.5400	68.6178	0.7772	0.3736	0.8050	0.0000	0.0000	0.0000	75.0000	464.0000
